base hex  timestamps absolute
3731.100 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3731.400 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3731.600 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
3731.900 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3732.100 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
3732.400 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
3732.600 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3732.800 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3746.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3746.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3746.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3747.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3747.200 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3747.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3747.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3750.100 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
3762.900 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3763.200 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3763.400 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3766.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3766.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3766.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3767.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3777.500 2 0353       Rx   d 8 33 81 00 00 13 3E 00 00 
3778.900 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3779.200 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3779.400 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3779.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3779.900 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3786.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3786.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3786.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3787.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3795.000 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3795.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3795.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3795.800 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3798.300 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
3798.500 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
3798.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
3799.000 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
3806.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3806.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3806.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3807.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3811.000 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3811.200 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3811.500 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3826.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3826.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3826.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3827.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3827.200 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3827.500 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3827.700 2 0353       Rx   d 8 33 81 00 00 13 3E 00 00 
3828.000 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
3828.200 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3828.400 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
3828.700 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
3828.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3829.200 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3843.000 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3843.300 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3843.500 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3846.300 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
3846.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3846.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3847.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3847.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3849.000 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
3859.000 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3859.200 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3859.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3859.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3866.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3866.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3866.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3867.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3875.000 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3875.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3875.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3875.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3876.000 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3877.500 2 0353       Rx   d 8 33 81 00 00 13 3E 00 00 
3886.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3886.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3886.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3887.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3891.000 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3891.300 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3891.500 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3898.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
3898.500 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
3898.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
3899.000 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
3906.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3906.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3906.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3907.000 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
3907.200 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3907.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3907.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3923.100 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3923.300 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3923.500 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3923.800 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
3924.000 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3924.300 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
3924.500 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
3924.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
3925.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3925.200 2 06F6       Rx   d 8 15 1E 16 F5 59 93 D0 3C 
3926.400 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3926.700 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3926.900 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3927.100 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
3927.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
3939.100 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3939.400 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3939.600 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3946.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3946.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3946.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3947.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3948.800 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
3955.100 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3955.300 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3955.600 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3966.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3966.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3966.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3967.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3971.100 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
3971.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3971.600 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3971.800 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3972.100 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
3977.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
3986.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
3986.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
3986.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
3987.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
3987.300 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
3987.500 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
3987.800 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
3988.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
3998.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
3998.500 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
3998.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
3999.000 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
4003.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4003.600 2 0097       Rx   d 8 01 79 00 56 01 7E 00 25 
4003.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4006.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4006.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4006.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4007.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4019.300 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4019.600 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4019.800 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4020.100 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4020.300 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4020.600 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4020.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4021.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4026.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4026.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4026.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4027.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4027.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4035.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4035.600 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4035.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4046.200 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
4046.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4046.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4046.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4047.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4049.000 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
4050.700 2 0454       Rx   d 8 00 00 00 00 00 00 00 00 
4051.400 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4051.600 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4051.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4052.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4066.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4066.400 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4066.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4066.900 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4067.300 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4067.600 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4067.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4068.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4068.300 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4077.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4078.200 2 0307       Rx   d 8 00 00 00 00 00 00 00 00 
4083.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4083.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4083.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4086.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4086.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4086.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4087.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4098.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
4098.500 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
4098.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
4098.900 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
4099.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4099.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4099.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4106.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4106.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4106.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4106.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4115.500 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4115.700 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4115.900 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4116.200 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4116.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4116.700 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4116.900 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4117.100 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4117.400 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4126.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4126.600 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4126.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4127.100 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4127.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4131.500 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4131.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4132.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4146.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4146.400 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4146.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4146.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4147.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4147.500 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4147.700 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4149.500 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
4163.300 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4163.500 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4163.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4164.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4164.300 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4164.500 2 06F6       Rx   d 8 15 1E 16 F5 59 93 D0 3C 
4166.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4166.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4166.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4167.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4177.500 2 0353       Rx   d 8 33 81 00 00 13 3F 00 00 
4179.300 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4179.600 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4179.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4180.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4186.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4186.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4186.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4186.900 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4195.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4195.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4195.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4198.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
4198.500 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
4198.700 2 0403       Rx   d 8 02 02 89 24 24 00 00 00 
4198.900 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
4199.200 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
4206.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4206.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4206.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4206.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4211.400 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4211.600 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4211.900 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4212.100 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4212.300 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4212.600 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4212.800 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4213.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4226.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4226.400 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4226.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4226.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4227.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4227.600 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4227.800 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4228.100 2 0353       Rx   d 8 33 81 00 00 13 40 00 00 
4243.400 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4243.600 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4243.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4244.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4246.300 2 00FC       Rx   d 8 03 00 00 00 00 00 00 00 
4246.600 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4246.800 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4247.100 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4247.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4249.400 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
4259.400 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4259.600 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4259.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4260.100 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4260.400 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4266.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4266.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4266.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4267.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4275.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4275.600 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4275.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4277.500 2 0353       Rx   d 8 33 81 00 00 13 43 00 00 
4286.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4286.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4286.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4286.900 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4291.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4291.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4291.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4298.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
4298.400 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
4298.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
4298.900 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
4306.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4306.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4306.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4306.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4307.400 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4307.700 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4307.900 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4308.100 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4308.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4308.600 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4308.900 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4309.100 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4309.300 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4323.400 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4323.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4323.900 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4326.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4326.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4326.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4326.900 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4327.500 2 0353       Rx   d 8 33 81 00 00 13 43 00 00 
4339.500 2 0623       Rx   d 8 36 44 12 82 00 00 00 00 
4339.700 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4339.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4340.200 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4340.400 2 0640       Rx   d 8 44 60 00 78 00 0C 86 00 
4340.700 2 0650       Rx   d 8 11 42 00 00 00 00 00 00 
4346.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4346.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4346.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4347.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4349.300 2 0340       Rx   d 8 00 1A 00 00 00 00 00 00 
4355.500 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4355.700 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4355.900 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4356.200 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4356.400 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4366.300 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4366.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4366.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4367.000 2 0085       Rx   d 8 03 D7 85 C1 03 1C 83 1C 
4371.500 2 0230       Rx   d 8 00 BE 76 06 68 00 00 00 
4371.700 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4372.000 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4372.200 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4377.500 2 0353       Rx   d 8 33 81 00 00 13 40 00 00 
4386.200 2 0090       Rx   d 8 01 50 FF E1 80 00 00 00 
4386.500 2 04B0       Rx   d 8 00 00 00 00 00 00 00 00 
4386.700 2 0210       Rx   d 8 21 E0 F8 00 10 21 E0 00 
4386.900 2 0085       Rx   d 8 03 D8 85 C1 03 1C 83 1C 
4387.500 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4387.700 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4388.000 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4398.200 2 0128       Rx   d 8 00 80 00 00 00 00 00 00 
4398.400 2 0350       Rx   d 8 04 00 00 00 00 00 00 00 
4398.700 2 0437       Rx   d 8 27 27 01 00 00 00 00 81 
4398.900 2 0453       Rx   d 8 00 00 00 00 00 0F B9 00 
4403.500 2 0200       Rx   d 8 03 27 02 51 03 22 C0 00 
4403.800 2 0207       Rx   d 8 00 00 00 00 00 00 00 00 
4404.000 2 0425       Rx   d 8 00 00 00 FF FF 02 80 00 
4404.300 2 012D       Rx   d 8 81 00 00 00 00 00 00 04 
4404.500 2 0427       Rx   d 8 3D 22 98 7A 19 00 05 00 
4404.700 2 044D       Rx   d 8 00 40 00 00 26 90 3F C7 
4405.000 2 0097       Rx   d 8 01 78 00 56 01 7E 00 25 
4405.200 2 0120       Rx   d 8 01 7E 00 00 00 00 00 00 
4405.500 2 06F6       Rx   d 8 15 1E 16 F5 59 93 D0 3C 
