base hex  timestamps absolute
2211.38902 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2211.69363 2 0737       Rx   d 8 07 23 00 00 86 5C 00 04 
2211.98919 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2212.16680 2 0737       Rx   d 8 07 23 00 00 86 60 00 04 
2212.48831 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2212.79763 2 0737       Rx   d 8 07 23 00 00 86 64 00 04 
2213.08862 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2213.28186 2 0737       Rx   d 8 07 23 00 00 86 68 00 04 
2213.53229 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2213.74745 2 0737       Rx   d 8 07 23 00 00 86 6C 00 04 
2214.02275 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2214.20344 2 0737       Rx   d 8 07 23 00 00 86 70 00 04 
2214.50564 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2214.66645 2 0737       Rx   d 8 07 23 00 00 86 74 00 04 
2214.90584 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2215.13656 2 0737       Rx   d 8 07 23 00 00 86 78 00 04 
2215.38767 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2215.62165 2 0737       Rx   d 8 07 23 00 00 86 7C 00 04 
2215.79452 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2215.93250 2 0737       Rx   d 8 07 23 00 00 86 80 00 04 
2216.19701 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2216.34644 2 0737       Rx   d 8 07 23 00 00 86 84 00 04 
2216.58765 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2216.66197 2 0737       Rx   d 8 07 23 00 00 86 88 00 04 
2216.90985 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2216.98823 2 0737       Rx   d 8 07 23 00 00 86 8C 00 04 
2217.29273 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2217.61377 2 0737       Rx   d 8 07 23 00 00 86 90 00 04 
2217.89257 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2218.08180 2 0737       Rx   d 8 07 23 00 00 86 94 00 04 
2218.39234 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2218.53869 2 0737       Rx   d 8 07 23 00 00 86 98 00 04 
2218.82207 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2219.01394 2 0737       Rx   d 8 07 23 00 00 86 9C 00 04 
2219.31253 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2219.48530 2 0737       Rx   d 8 07 23 00 00 86 A0 00 04 
2219.80191 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2219.96707 2 0737       Rx   d 8 07 23 00 00 86 A4 00 04 
2220.19144 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2220.43300 2 0737       Rx   d 8 07 23 00 00 86 A8 00 04 
2220.74653 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2220.91194 2 0737       Rx   d 8 07 23 00 00 86 AC 00 04 
2221.22585 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2221.38744 2 0737       Rx   d 8 07 23 00 00 86 B0 00 04 
2221.72176 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2221.85018 2 0737       Rx   d 8 07 23 00 00 86 B4 00 04 
2222.08379 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2222.25894 2 0737       Rx   d 8 07 23 00 00 86 B8 00 04 
2222.51487 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2222.65067 2 0737       Rx   d 8 07 23 00 00 86 BC 00 04 
2222.88964 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2223.05905 2 0737       Rx   d 8 07 23 00 00 86 C0 00 04 
2223.38969 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2223.53676 2 0737       Rx   d 8 07 23 00 00 86 C4 00 04 
2223.79452 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2223.85898 2 0737       Rx   d 8 07 23 00 00 86 C8 00 04 
2224.19235 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2224.33904 2 0737       Rx   d 8 07 23 00 00 86 CC 00 04 
2224.59218 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2224.65894 2 0737       Rx   d 8 07 23 00 00 86 D0 00 04 
2224.98931 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2225.13786 2 0737       Rx   d 8 07 23 00 00 86 D4 00 04 
2225.38911 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2225.60815 2 0737       Rx   d 8 07 23 00 00 86 D8 00 04 
2225.88861 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2226.07888 2 0737       Rx   d 8 07 23 00 00 86 DC 00 04 
2226.38396 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2226.54087 2 0737       Rx   d 8 07 23 00 00 86 E0 00 04 
2226.82860 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2227.00987 2 0737       Rx   d 8 07 23 00 00 86 E4 00 04 
2227.31947 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2227.47975 2 0737       Rx   d 8 07 23 00 00 86 E8 00 04 
2227.79822 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2227.93616 2 0737       Rx   d 8 07 23 00 00 86 EC 00 04 
2228.18477 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2228.41922 2 0737       Rx   d 8 07 23 00 00 86 F0 00 04 
2228.75410 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2228.91694 2 0737       Rx   d 8 07 23 00 00 86 F4 00 04 
2229.22632 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2229.32728 2 0737       Rx   d 8 07 23 00 00 86 F8 00 04 
2229.58449 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2229.63888 2 0737       Rx   d 8 07 23 00 00 86 FC 00 04 
2229.88989 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2229.93730 2 0737       Rx   d 8 07 23 00 00 87 00 00 04 
2230.19339 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2230.25582 2 0737       Rx   d 8 07 23 00 00 87 04 00 04 
2230.58719 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2230.88360 2 0737       Rx   d 8 07 23 00 00 87 08 00 04 
2231.18936 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2231.34775 2 0737       Rx   d 8 07 23 00 00 87 0C 00 04 
2231.62157 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2231.82001 2 0737       Rx   d 8 07 23 00 00 87 10 00 04 
2232.11900 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2232.28716 2 0737       Rx   d 8 07 23 00 00 87 14 00 04 
2232.59993 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2232.74980 2 0737       Rx   d 8 07 23 00 00 87 18 00 04 
2232.98572 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2233.22606 2 0737       Rx   d 8 07 23 00 00 87 1C 00 04 
2233.47801 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2233.72829 2 0737       Rx   d 8 07 23 00 00 87 20 00 04 
2234.02349 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2234.19693 2 0737       Rx   d 8 07 23 00 00 87 24 00 04 
2234.52215 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2234.62627 2 0737       Rx   d 8 07 23 00 00 87 28 00 04 
2234.88469 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2235.10176 2 0737       Rx   d 8 07 23 00 00 87 2C 00 04 
2235.38492 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2235.58207 2 0737       Rx   d 8 07 23 00 00 87 30 00 04 
2235.87646 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2236.03684 2 0737       Rx   d 8 07 23 00 00 87 34 00 04 
2236.28427 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2236.35273 2 0737       Rx   d 8 07 23 00 00 87 38 00 04 
2236.75598 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2236.96469 2 0737       Rx   d 8 07 23 00 00 87 3C 00 04 
2237.28508 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2237.60505 2 0737       Rx   d 8 07 23 00 00 87 40 00 04 
2237.87751 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2238.08208 2 0737       Rx   d 8 07 23 00 00 87 44 00 04 
2238.38269 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2238.55757 2 0737       Rx   d 8 07 23 00 00 87 48 00 04 
2238.87843 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2239.18536 2 0737       Rx   d 8 07 23 00 00 87 4C 00 04 
2239.47806 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2239.66474 2 0737       Rx   d 8 07 23 00 00 87 50 00 04 
2239.98723 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2240.14690 2 0737       Rx   d 8 07 23 00 00 87 54 00 04 
2240.38168 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2240.60779 2 0737       Rx   d 8 07 23 00 00 87 58 00 04 
2240.92438 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2241.08048 2 0737       Rx   d 8 07 23 00 00 87 5C 00 04 
2241.40827 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2241.54859 2 0737       Rx   d 8 07 23 00 00 87 60 00 04 
2241.78964 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2242.02890 2 0737       Rx   d 8 07 23 00 00 87 64 00 04 
2242.28094 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2242.52825 2 0737       Rx   d 8 07 23 00 00 87 68 00 04 
2242.78422 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2243.01265 2 0737       Rx   d 8 07 23 00 00 87 6C 00 04 
2243.32843 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2243.38224 2 0737       Rx   d 8 07 23 00 00 87 70 00 04 
2243.71821 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2243.85171 2 0737       Rx   d 8 07 23 00 00 87 74 00 04 
2244.18404 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2244.33077 2 0737       Rx   d 8 07 23 00 00 87 78 00 04 
2244.60943 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2244.64961 2 0737       Rx   d 8 07 23 00 00 87 7C 00 04 
2244.87467 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2244.98492 2 0737       Rx   d 8 07 23 00 00 87 80 00 04 
2245.27926 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2245.45041 2 0737       Rx   d 8 07 23 00 00 87 84 00 04 
2245.78481 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2245.92968 2 0737       Rx   d 8 07 23 00 00 87 88 00 04 
2246.21724 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2246.39925 2 0737       Rx   d 8 07 23 00 00 87 8C 00 04 
2246.72779 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2247.02035 2 0737       Rx   d 8 07 23 00 00 87 90 00 04 
2247.33198 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2247.49030 2 0737       Rx   d 8 07 23 00 00 87 94 00 04 
2247.81977 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2247.98358 2 0737       Rx   d 8 07 23 00 00 87 98 00 04 
2248.28804 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2248.44824 2 0737       Rx   d 8 07 23 00 00 87 9C 00 04 
2248.78767 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2248.92371 2 0737       Rx   d 8 07 23 00 00 87 A0 00 04 
2249.18146 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2249.41426 2 0737       Rx   d 8 07 23 00 00 87 A4 00 04 
2249.73644 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2249.78368 2 0737       Rx   d 8 07 23 00 00 87 A8 00 04 
2250.07784 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2250.24835 2 0737       Rx   d 8 07 23 00 00 87 AC 00 04 
2250.58169 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2250.73330 2 0737       Rx   d 8 07 23 00 00 87 B0 00 04 
2251.02109 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2251.04863 2 0737       Rx   d 8 07 23 00 00 87 B4 00 04 
2251.38382 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2251.52722 2 0737       Rx   d 8 07 23 00 00 87 B8 00 04 
2251.82365 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2251.84731 2 0737       Rx   d 8 07 23 00 00 87 BC 00 04 
2252.18513 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2252.48147 2 0737       Rx   d 8 07 23 00 00 87 C0 00 04 
2252.78371 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2252.95131 2 0737       Rx   d 8 07 23 00 00 87 C4 00 04 
2253.18505 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2253.42752 2 0737       Rx   d 8 07 23 00 00 87 C8 00 04 
2253.73259 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2253.88921 2 0737       Rx   d 8 07 23 00 00 87 CC 00 04 
2254.22114 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2254.38241 2 0737       Rx   d 8 07 23 00 00 87 D0 00 04 
2254.69440 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2254.84187 2 0737       Rx   d 8 07 23 00 00 87 D4 00 04 
2255.06805 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2255.33400 2 0737       Rx   d 8 07 23 00 00 87 D8 00 04 
2255.58336 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2255.82048 2 0737       Rx   d 8 07 23 00 00 87 DC 00 04 
2256.06411 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2256.22670 2 0737       Rx   d 8 07 23 00 00 87 E0 00 04 
2256.48082 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2256.64721 2 0737       Rx   d 8 07 23 00 00 87 E4 00 04 
2256.98300 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2257.12675 2 0737       Rx   d 8 07 23 00 00 87 E8 00 04 
2257.41767 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2257.44503 2 0737       Rx   d 8 07 23 00 00 87 EC 00 04 
2257.78260 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2257.92575 2 0737       Rx   d 8 07 23 00 00 87 F0 00 04 
2258.21999 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2258.24431 2 0737       Rx   d 8 07 23 00 00 87 F4 00 04 
2258.58202 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2258.72688 2 0737       Rx   d 8 07 23 00 00 87 F8 00 04 
2259.01831 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2259.20276 2 0737       Rx   d 8 07 23 00 00 87 FC 00 04 
2259.50918 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2259.69843 2 0737       Rx   d 8 07 23 00 00 88 00 00 04 
2259.98598 2 073F       Rx   d 8 05 63 09 52 44 14 00 00 
2260.13853 2 0737       Rx   d 8 07 23 00 00 88 04 00 04 
2260.38256 2 073F       Rx   d 8 05 63 28 20 20 15 00 00 
2260.61502 2 0737       Rx   d 8 07 23 00 00 88 08 00 04 
2260.87487 2 073F       Rx   d 8 05 63 17 09 F3 FF 00 00 
2261.10908 2 0737       Rx   d 8 07 23 00 00 88 0C 00 04 
2261.41467 2 073F       Rx   d 8 05 63 89 86 02 01 00 00 
2261.58538 2 0737       Rx   d 8 07 23 00 00 88 10 00 04 
2261.91071 2 073F       Rx   d 8 05 63 04 07 35 0B 00 00 
2262.22185 2 0737       Rx   d 8 07 23 00 00 88 14 00 04 
2262.47947 2 073F       Rx   d 8 05 63 1F 2B 9D 61 00 00 
2262.64077 2 0737       Rx   d 8 07 23 00 00 88 18 00 04 
2262.87546 2 073F       Rx   d 8 05 63 02 27 3F D8 00 00 
2263.11580 2 0737       Rx   d 8 07 23 00 00 88 1C 00 04 
2263.38398 2 073F       Rx   d 8 05 63 11 0D 05 17 00 00 
2263.52360 2 0737       Rx   d 8 07 23 00 00 88 20 00 04 
2263.81961 2 073F       Rx   d 8 05 63 79 7D 16 3B 00 00 
2263.84569 2 0737       Rx   d 8 07 23 00 00 88 24 00 04 
2264.17891 2 073F       Rx   d 8 05 63 05 02 A8 FB 00 00 
2264.32220 2 0737       Rx   d 8 07 23 00 00 88 28 00 04 
2264.55923 2 073F       Rx   d 8 05 63 09 06 00 09 00 00 
2264.64223 2 0737       Rx   d 8 07 23 00 00 88 2C 00 04 
2264.95909 2 073F       Rx   d 8 05 63 08 8F 03 0C 00 00 
2265.12377 2 0737       Rx   d 8 07 23 00 00 88 30 00 04 
2265.35850 2 073F       Rx   d 8 05 63 20 00 1D 06 00 00 
2265.44342 2 0737       Rx   d 8 07 23 00 00 88 34 00 04 
2265.75078 2 073F       Rx   d 8 05 63 00 00 0E 97 00 00 
2265.92311 2 0737       Rx   d 8 07 23 00 00 88 38 00 04 
2266.17785 2 073F       Rx   d 8 05 63 2A 96 84 88 00 00 
2266.24211 2 0737       Rx   d 8 07 23 00 00 88 3C 00 04 
2266.57871 2 073F       Rx   d 8 05 63 49 5B 5F 08 00 00 
2266.72417 2 0737       Rx   d 8 07 23 00 00 88 40 00 04 
2267.01891 2 073F       Rx   d 8 05 63 1B 9A 22 B7 00 00 
2267.19676 2 0737       Rx   d 8 07 23 00 00 88 44 00 04 
2267.51652 2 073F       Rx   d 8 05 63 0C 16 15 08 00 00 
2267.83085 2 0737       Rx   d 8 07 23 00 00 88 48 00 04 
2268.07380 2 073F       Rx   d 8 05 63 04 10 EC 63 00 00 
2268.31935 2 0737       Rx   d 8 07 23 00 00 88 4C 00 04 
2268.57742 2 073F       Rx   d 8 05 63 13 14 C0 00 00 00 
2268.79872 2 0737       Rx   d 8 07 23 00 00 88 50 00 04 
2269.11486 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2269.41602 2 0737       Rx   d 8 07 23 00 00 88 54 00 04 
2269.68758 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2269.84823 2 0737       Rx   d 8 07 23 00 00 88 58 00 04 
2270.17813 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2270.24101 2 0737       Rx   d 8 07 23 00 00 88 5C 00 04 
2270.55659 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2270.72305 2 0737       Rx   d 8 07 23 00 00 88 60 00 04 
2270.98042 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2271.04152 2 0737       Rx   d 8 07 23 00 00 88 64 00 04 
2271.37776 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2271.52154 2 0737       Rx   d 8 07 23 00 00 88 68 00 04 
2271.82359 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2272.00011 2 0737       Rx   d 8 07 23 00 00 88 6C 00 04 
2272.31896 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2272.48011 2 0737       Rx   d 8 07 23 00 00 88 70 00 04 
2272.68834 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2272.80433 2 0737       Rx   d 8 07 23 00 00 88 74 00 04 
2273.05558 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2273.27045 2 0737       Rx   d 8 07 23 00 00 88 78 00 04 
2273.59937 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2273.91548 2 0737       Rx   d 8 07 23 00 00 88 7C 00 04 
2274.15748 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2274.39983 2 0737       Rx   d 8 07 23 00 00 88 80 00 04 
2274.72089 2 073F       Rx   d 8 05 63 00 00 8C FF 00 00 
2274.97914 2 0737       Rx   d 8 07 23 00 00 88 84 00 04 
2275.26768 2 073F       Rx   d 8 05 63 FA 0C 32 88 00 00 
2275.45211 2 0737       Rx   d 8 07 23 00 00 88 88 00 04 
2275.77913 2 073F       Rx   d 8 05 63 0A 96 1E DC 00 00 
2275.91487 2 0737       Rx   d 8 07 23 00 00 88 8C 00 04 
2276.15667 2 073F       Rx   d 8 05 63 0A 50 64 01 00 00 
2276.38774 2 0737       Rx   d 8 07 23 00 00 88 90 00 04 
2276.71541 2 073F       Rx   d 8 05 63 1E 14 28 05 00 00 
2276.80505 2 0737       Rx   d 8 07 23 00 00 88 94 00 04 
2277.05603 2 073F       Rx   d 8 05 63 49 72 FF 14 00 00 
2277.11947 2 0737       Rx   d 8 07 23 00 00 88 98 00 04 
2277.35540 2 073F       Rx   d 8 05 63 01 00 0F 64 00 00 
2277.44074 2 0737       Rx   d 8 07 23 00 00 88 9C 00 04 
2277.78202 2 073F       Rx   d 8 05 63 19 00 0F 26 00 00 
2277.92074 2 0737       Rx   d 8 07 23 00 00 88 A0 00 04 
2278.17711 2 073F       Rx   d 8 05 63 0D 32 00 23 00 00 
2278.24153 2 0737       Rx   d 8 07 23 00 00 88 A4 00 04 
2278.55172 2 073F       Rx   d 8 05 63 0F 0F 33 B8 00 00 
2278.72152 2 0737       Rx   d 8 07 23 00 00 88 A8 00 04 
2278.98096 2 073F       Rx   d 8 05 63 FF 0A 36 0D 00 00 
2279.04037 2 0737       Rx   d 8 07 23 00 00 88 AC 00 04 
2279.37657 2 073F       Rx   d 8 05 63 14 1B 94 64 00 00 
2279.67694 2 0737       Rx   d 8 07 23 00 00 88 B0 00 04 
2280.00982 2 073F       Rx   d 8 05 63 96 96 FA 00 00 00 
2280.32362 2 0737       Rx   d 8 07 23 00 00 88 B4 00 04 
2280.55066 2 073F       Rx   d 8 05 63 37 80 3B 01 00 00 
2280.81113 2 0737       Rx   d 8 07 23 00 00 88 B8 00 04 
2280.95006 2 073F       Rx   d 8 05 63 69 28 1E 19 00 00 
2281.22135 2 0737       Rx   d 8 07 23 00 00 88 BC 00 04 
2281.45394 2 073F       Rx   d 8 05 63 00 0B 28 00 00 00 
2281.69028 2 0737       Rx   d 8 07 23 00 00 88 C0 00 04 
2281.98138 2 073F       Rx   d 8 05 63 19 32 65 79 00 00 
2282.17586 2 0737       Rx   d 8 07 23 00 00 88 C4 00 04 
2282.46022 2 073F       Rx   d 8 05 63 5E 10 1B 1B 00 00 
2282.62117 2 0737       Rx   d 8 07 23 00 00 88 C8 00 04 
2282.87851 2 073F       Rx   d 8 05 63 0B 0B 0B 01 00 00 
2283.09862 2 0737       Rx   d 8 07 23 00 00 88 CC 00 04 
2283.37859 2 073F       Rx   d 8 05 63 4E E3 FF FF 00 00 
2283.55537 2 0737       Rx   d 8 07 23 00 00 88 D0 00 04 
2283.78093 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2283.83925 2 0737       Rx   d 8 07 23 00 00 88 D4 00 04 
2284.15192 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2284.32393 2 0737       Rx   d 8 07 23 00 00 88 D8 00 04 
2284.55190 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2284.63708 2 0737       Rx   d 8 07 23 00 00 88 DC 00 04 
2284.94989 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2285.12202 2 0737       Rx   d 8 07 23 00 00 88 E0 00 04 
2285.34924 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2285.61048 2 0737       Rx   d 8 07 23 00 00 88 E4 00 04 
2285.86524 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2286.03447 2 0737       Rx   d 8 07 23 00 00 88 E8 00 04 
2286.40926 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2286.66486 2 0737       Rx   d 8 07 23 00 00 88 EC 00 04 
2286.94922 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2287.13325 2 0737       Rx   d 8 07 23 00 00 88 F0 00 04 
2287.45738 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2287.60141 2 0737       Rx   d 8 07 23 00 00 88 F4 00 04 
2287.86323 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2288.06641 2 0737       Rx   d 8 07 23 00 00 88 F8 00 04 
2288.35783 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2288.54354 2 0737       Rx   d 8 07 23 00 00 88 FC 00 04 
2288.85600 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2289.01457 2 0737       Rx   d 8 07 23 00 00 89 00 00 04 
2289.28625 2 073F       Rx   d 8 05 63 96 96 96 96 00 00 
2289.51404 2 0737       Rx   d 8 07 23 00 00 89 04 00 04 
2289.75430 2 073F       Rx   d 8 05 63 32 32 32 32 00 00 
2289.97752 2 0737       Rx   d 8 07 23 00 00 89 08 00 04 
2290.24881 2 073F       Rx   d 8 05 63 0F 0F 0F 0F 00 00 
2290.41306 2 0737       Rx   d 8 07 23 00 00 89 0C 00 04 
2290.72806 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2290.88361 2 0737       Rx   d 8 07 23 00 00 89 10 00 04 
2291.21616 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2291.35473 2 0737       Rx   d 8 07 23 00 00 89 14 00 04 
2291.69804 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2291.83716 2 0737       Rx   d 8 07 23 00 00 89 18 00 04 
2292.17753 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2292.33206 2 0737       Rx   d 8 07 23 00 00 89 1C 00 04 
2292.54513 2 073F       Rx   d 8 05 63 FF FF FF FF 00 00 
2292.63557 2 0737       Rx   d 8 07 23 00 00 89 20 00 04 
2292.97786 2 073F       Rx   d 8 05 63 1E 14 00 FF 00 00 
2293.28821 2 0737       Rx   d 8 07 23 00 00 89 24 00 04 
2293.61277 2 073F       Rx   d 8 05 63 00 00 01 00 00 00 
2293.92818 2 0737       Rx   d 8 07 23 00 00 89 28 00 04 
2294.24750 2 073F       Rx   d 8 05 63 08 00 00 00 00 00 
2294.51439 2 0737       Rx   d 8 07 23 00 00 89 2C 00 04 
2294.75419 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2294.98484 2 0737       Rx   d 8 07 23 00 00 89 30 00 04 
2295.24643 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2295.46746 2 0737       Rx   d 8 07 23 00 00 89 34 00 04 
2295.75394 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2295.93652 2 0737       Rx   d 8 07 23 00 00 89 38 00 04 
2296.25300 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2296.39713 2 0737       Rx   d 8 07 23 00 00 89 3C 00 04 
2296.69302 2 073F       Rx   d 8 05 63 50 00 00 00 00 00 
2296.85833 2 0737       Rx   d 8 07 23 00 00 89 40 00 04 
2297.17467 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2297.32506 2 0737       Rx   d 8 07 23 00 00 89 44 00 04 
2297.55340 2 073F       Rx   d 8 05 63 00 00 00 00 00 00 
2297.61336 2 0737       Rx   d 8 07 23 00 00 89 48 00 04 
2297.85230 2 073F       Rx   d 8 05 63 50 00 00 00 00 00 
2297.93024 2 0737       Rx   d 8 07 23 00 00 89 4C 00 04 
2298.25508 2 073F       Rx   d 8 05 63 20 00 00 00 00 00 
2298.40987 2 0737       Rx   d 8 07 23 00 00 89 50 00 04 
